district,soiltype,season,avgrainfall_mm,avgtemp_c,avghumidity_%,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,Crop
Dhule,Alluvial,Rabi,609,25,56,8,229,23,200,Tur
Buldhana,Black,Kharif,735,35,62,7,213,36,287,Sugarcane
Akola,Red,Zaid,1286,32,57,7,218,22,263,Sugarcane
Gondia,Red,Rabi,1147,26,57,7,255,24,252,Sugarcane
Wardha,Laterite,Rabi,1274,26,42,7,319,19,173,Rice
Mumbai Suburban,Sandy,Zaid,1790,25,70,7,200,33,213,Maize
Kolhapur,Sandy,Kharif,1189,26,33,6,250,30,159,Soybean
Jalgaon,Black,Zaid,1072,31,71,6,215,36,274,Wheat
Amravati,Alluvial,Zaid,1074,29,44,8,275,15,196,Soybean
Wardha,Laterite,Zaid,1028,29,40,7,310,28,295,Soybean
Raigad,Laterite,Zaid,1121,22,47,7,331,31,250,Sugarcane
Akola,Laterite,Rabi,1441,27,45,7,248,35,259,Maize
Chandrapur,Black,Rabi,1307,25,76,8,310,49,264,Sugarcane
Beed,Sandy,Zaid,814,26,51,7,260,10,203,Cotton
Buldhana,Alluvial,Zaid,1193,32,66,8,189,33,249,Rice
Yavatmal,Red,Rabi,992,23,35,6,383,15,191,Maize
Nandurbar,Laterite,Kharif,598,30,78,7,269,19,239,Wheat
Gondia,Laterite,Kharif,702,29,79,8,240,14,259,Cotton
Solapur,Black,Zaid,963,25,84,6,229,23,168,Sugarcane
Parbhani,Sandy,Rabi,1097,29,73,7,209,24,147,Maize
Satara,Laterite,Rabi,1329,23,80,7,216,26,219,Tur
Ratnagiri,Sandy,Rabi,733,25,61,7,233,24,183,Maize
Beed,Red,Kharif,603,30,47,6,189,23,220,Wheat
Osmanabad,Black,Zaid,1045,21,35,8,236,28,221,Cotton
Hingoli,Red,Rabi,1047,28,46,7,285,28,297,Maize
Ratnagiri,Alluvial,Zaid,1086,30,63,7,231,29,287,Soybean
Solapur,Alluvial,Kharif,1386,22,64,7,311,37,281,Rice
Hingoli,Black,Kharif,1042,31,82,7,306,20,252,Wheat
Palghar,Laterite,Rabi,727,29,76,7,261,23,234,Maize
Chandrapur,Red,Rabi,1066,30,80,7,261,24,264,Soybean
Mumbai Suburban,Sandy,Kharif,654,20,72,7,246,29,223,Tur
Kolhapur,Alluvial,Rabi,1431,19,62,6,329,33,203,Sugarcane
Wardha,Red,Rabi,1134,32,66,7,259,35,205,Soybean
Gadchiroli,Black,Rabi,822,30,83,7,290,31,212,Sugarcane
Dhule,Alluvial,Zaid,676,31,44,7,242,36,208,Rice
Washim,Sandy,Zaid,1287,25,85,7,302,25,212,Cotton
Bhandara,Sandy,Kharif,790,34,71,7,291,36,303,Tur
Kolhapur,Sandy,Zaid,1180,22,48,6,341,34,285,Rice
Kolhapur,Red,Zaid,1001,32,35,8,240,41,236,Sugarcane
Osmanabad,Sandy,Kharif,1111,39,51,6,220,19,182,Cotton
Hingoli,Alluvial,Kharif,1228,23,68,6,280,49,216,Rice
Nagpur,Laterite,Kharif,786,38,55,7,309,20,237,Wheat
Wardha,Laterite,Rabi,1053,25,61,8,371,23,256,Soybean
Sindhudurg,Red,Kharif,1533,32,76,8,240,34,283,Wheat
Yavatmal,Alluvial,Zaid,459,24,64,8,213,19,228,Sugarcane
Nanded,Sandy,Rabi,1338,28,59,7,265,11,219,Soybean
Gadchiroli,Black,Rabi,791,17,53,7,230,35,355,Rice
Bhandara,Red,Kharif,598,28,53,6,323,33,193,Rice
Chandrapur,Alluvial,Kharif,1024,26,36,7,281,36,108,Tur
Nagpur,Sandy,Kharif,446,39,53,8,318,27,189,Cotton
Gondia,Red,Zaid,712,25,74,7,202,24,169,Rice
Latur,Alluvial,Rabi,850,31,95,7,317,30,155,Wheat
Parbhani,Alluvial,Rabi,925,26,101,7,265,27,192,Maize
Wardha,Sandy,Kharif,622,24,66,8,291,22,215,Tur
Solapur,Laterite,Kharif,857,29,85,8,286,25,236,Tur
Raigad,Red,Zaid,841,30,59,8,165,24,251,Sugarcane
Bhandara,Alluvial,Kharif,1008,28,43,7,237,22,169,Soybean
Osmanabad,Alluvial,Rabi,704,24,49,7,257,22,246,Sugarcane
Amravati,Sandy,Rabi,1175,33,45,7,219,30,202,Sugarcane
Bhandara,Alluvial,Kharif,1108,31,46,7,258,34,174,Sugarcane
Ahmednagar,Alluvial,Rabi,684,25,44,7,209,18,156,Tur
Sindhudurg,Sandy,Kharif,1291,26,64,7,401,22,247,Soybean
Osmanabad,Alluvial,Kharif,1081,26,61,7,235,28,189,Sugarcane
Nashik,Alluvial,Rabi,1177,30,87,7,305,29,169,Sugarcane
Akola,Black,Rabi,545,26,43,7,225,25,221,Maize
Bhandara,Red,Zaid,856,22,62,6,300,33,169,Soybean
Solapur,Red,Kharif,953,36,88,7,248,21,302,Soybean
Bhandara,Red,Zaid,1132,23,63,7,250,37,187,Wheat
Pune,Red,Kharif,588,28,87,7,295,18,189,Maize
Latur,Black,Zaid,792,26,48,7,268,40,283,Soybean
Washim,Alluvial,Rabi,1484,26,62,7,327,34,207,Maize
Sangli,Black,Kharif,1321,42,40,7,331,14,251,Tur
Sangli,Black,Kharif,1359,20,90,7,294,26,196,Sugarcane
Jalna,Laterite,Zaid,1344,22,64,7,230,27,246,Sugarcane
Osmanabad,Black,Rabi,1099,25,37,6,284,22,265,Rice
Jalgaon,Alluvial,Zaid,943,25,50,7,289,21,151,Sugarcane
Gadchiroli,Sandy,Kharif,595,32,46,7,303,29,233,Cotton
Nagpur,Sandy,Zaid,839,26,59,7,316,20,215,Wheat
Gadchiroli,Alluvial,Zaid,688,23,61,6,236,13,165,Sugarcane
Dhule,Red,Kharif,637,25,60,8,222,38,276,Maize
Nagpur,Black,Rabi,887,27,62,7,177,24,173,Tur
Chandrapur,Sandy,Kharif,1912,29,64,6,237,26,191,Tur
Akola,Sandy,Kharif,1216,31,62,7,357,29,154,Sugarcane
Kolhapur,Alluvial,Rabi,727,21,58,6,228,41,207,Soybean
Chandrapur,Alluvial,Rabi,1127,26,53,7,251,36,190,Tur
Thane,Sandy,Kharif,684,24,58,8,232,44,171,Rice
Akola,Sandy,Kharif,327,26,71,7,339,28,205,Maize
Sindhudurg,Black,Kharif,936,21,56,7,351,32,251,Wheat
Parbhani,Alluvial,Rabi,885,30,68,7,345,39,265,Sugarcane
Kolhapur,Alluvial,Zaid,1155,32,65,7,262,9,250,Tur
Kolhapur,Sandy,Zaid,983,24,65,7,283,16,206,Rice
Jalna,Sandy,Rabi,1120,30,101,6,293,8,262,Tur
Buldhana,Alluvial,Rabi,1144,24,61,7,246,26,261,Soybean
Gondia,Alluvial,Rabi,664,25,81,7,320,25,185,Maize
Yavatmal,Alluvial,Kharif,848,32,63,6,275,3,232,Tur
Dhule,Black,Kharif,918,26,47,7,310,8,185,Maize
Beed,Black,Kharif,885,31,52,8,304,21,263,Maize
Sindhudurg,Black,Kharif,1301,27,64,8,331,11,223,Tur
Bhandara,Black,Rabi,1164,29,70,7,298,31,240,Tur
Jalna,Laterite,Rabi,1362,30,71,8,273,17,157,Maize
Dhule,Sandy,Zaid,607,24,67,7,256,23,202,Soybean
Osmanabad,Laterite,Zaid,936,32,57,7,224,15,308,Soybean
Hingoli,Sandy,Rabi,809,24,38,8,244,34,276,Rice
Nashik,Red,Rabi,991,22,70,7,336,36,189,Wheat
Dhule,Red,Rabi,1108,20,69,6,245,33,235,Cotton
Ahmednagar,Red,Rabi,821,29,62,7,244,18,189,Maize
Washim,Alluvial,Rabi,845,24,69,7,268,24,221,Maize
Solapur,Laterite,Rabi,1078,27,68,7,283,21,238,Rice
Nanded,Laterite,Zaid,1459,22,48,7,315,28,215,Wheat
Solapur,Alluvial,Kharif,649,32,64,6,302,24,261,Rice
Amravati,Red,Rabi,1557,23,72,7,358,22,247,Sugarcane
Sindhudurg,Alluvial,Zaid,584,28,59,8,326,32,327,Wheat
Chandrapur,Laterite,Kharif,865,28,77,8,287,18,272,Tur
Sangli,Laterite,Zaid,583,29,56,7,254,31,176,Maize
Mumbai Suburban,Sandy,Kharif,1426,22,48,6,313,21,220,Tur
Mumbai City,Black,Kharif,1123,33,59,7,250,39,227,Rice
Chandrapur,Black,Rabi,430,16,69,7,251,21,215,Rice
Parbhani,Black,Kharif,742,29,58,7,278,25,202,Tur
Akola,Black,Kharif,988,29,61,7,259,26,233,Wheat
Beed,Laterite,Rabi,754,32,56,7,311,34,245,Maize
Mumbai City,Red,Rabi,1372,23,74,6,289,40,209,Tur
Nanded,Laterite,Kharif,866,36,54,7,253,22,209,Cotton
Ratnagiri,Alluvial,Zaid,1392,19,42,7,280,9,234,Wheat
Buldhana,Laterite,Kharif,523,33,83,7,362,27,287,Cotton
Sindhudurg,Laterite,Zaid,455,25,67,7,271,16,201,Soybean
Ratnagiri,Red,Kharif,1056,26,47,6,218,20,190,Tur
Ahmednagar,Alluvial,Kharif,614,24,55,7,325,29,236,Soybean
Chandrapur,Sandy,Zaid,1072,36,60,7,237,34,250,Cotton
Kolhapur,Laterite,Zaid,1255,26,68,7,307,35,297,Sugarcane
Aurangabad,Red,Kharif,869,28,65,7,241,29,213,Rice
Aurangabad,Black,Zaid,826,30,27,6,265,28,265,Soybean
Solapur,Laterite,Kharif,1199,22,62,8,239,21,173,Tur
Aurangabad,Black,Rabi,489,29,71,7,254,26,245,Cotton
Washim,Laterite,Rabi,825,24,66,7,282,16,249,Tur
Latur,Sandy,Zaid,1240,31,68,7,268,9,275,Soybean
Palghar,Laterite,Zaid,1072,27,74,6,228,26,217,Cotton
Yavatmal,Black,Zaid,1557,20,53,6,349,22,261,Cotton
Ahmednagar,Sandy,Rabi,1308,21,63,8,259,20,225,Rice
Osmanabad,Black,Zaid,712,27,49,7,271,29,228,Maize
Nanded,Sandy,Zaid,964,24,55,8,294,32,229,Wheat
Gadchiroli,Sandy,Zaid,846,16,71,7,293,19,234,Soybean
Chandrapur,Sandy,Zaid,875,25,37,7,306,31,276,Rice
Mumbai City,Black,Zaid,842,27,72,7,302,19,246,Wheat
Latur,Laterite,Kharif,1214,31,56,7,260,17,213,Rice
Nanded,Laterite,Zaid,837,34,60,8,219,16,217,Sugarcane
Chandrapur,Sandy,Kharif,576,27,37,7,230,26,280,Cotton
Solapur,Red,Rabi,606,28,60,6,206,13,229,Cotton
Aurangabad,Sandy,Zaid,563,31,65,7,246,26,182,Rice
Kolhapur,Laterite,Zaid,600,18,62,7,341,41,206,Wheat
Kolhapur,Red,Rabi,577,25,87,6,278,20,250,Cotton
Nanded,Laterite,Rabi,532,31,62,7,255,43,193,Soybean
Gondia,Black,Rabi,611,22,56,6,233,21,279,Soybean
Nagpur,Black,Zaid,1035,24,50,7,289,29,228,Maize
Osmanabad,Red,Kharif,853,24,67,7,298,10,205,Sugarcane
Palghar,Black,Kharif,322,26,58,7,388,25,234,Wheat
Beed,Laterite,Rabi,1767,25,60,7,313,29,177,Wheat
Jalna,Red,Zaid,884,36,59,8,309,31,180,Sugarcane
Sindhudurg,Alluvial,Rabi,432,30,52,7,296,24,274,Tur
Amravati,Sandy,Rabi,716,25,75,7,208,27,184,Cotton
Mumbai Suburban,Sandy,Rabi,925,32,51,7,249,32,222,Sugarcane
Raigad,Alluvial,Zaid,1226,29,64,6,249,31,176,Tur
Washim,Red,Zaid,403,27,69,7,227,23,271,Maize
Osmanabad,Sandy,Kharif,955,28,86,8,269,25,289,Cotton
Latur,Laterite,Zaid,1330,34,56,6,286,28,279,Soybean
Ratnagiri,Sandy,Rabi,1014,32,69,6,305,28,261,Tur
Buldhana,Black,Kharif,586,25,58,8,277,17,298,Soybean
Buldhana,Laterite,Zaid,845,27,63,7,318,27,187,Sugarcane
Dhule,Laterite,Kharif,928,22,64,8,259,13,210,Tur
Buldhana,Sandy,Kharif,552,25,70,8,280,27,152,Maize
Wardha,Black,Kharif,719,21,70,7,335,26,281,Rice
Nanded,Sandy,Zaid,565,29,30,9,194,22,183,Cotton
Thane,Black,Rabi,961,31,89,7,286,26,244,Rice
Solapur,Black,Kharif,1112,29,74,7,260,35,230,Cotton
Aurangabad,Red,Rabi,887,23,73,8,230,16,209,Wheat
Nandurbar,Red,Zaid,995,19,54,5,315,33,214,Tur
Solapur,Black,Rabi,1143,28,77,8,253,18,217,Wheat
Parbhani,Sandy,Rabi,731,30,81,8,303,15,219,Sugarcane
Mumbai Suburban,Alluvial,Zaid,704,23,79,7,299,25,197,Wheat
Parbhani,Red,Rabi,961,29,53,6,297,28,197,Cotton
Chandrapur,Sandy,Rabi,1330,31,66,7,254,24,201,Soybean
Satara,Red,Zaid,920,26,49,7,271,9,101,Sugarcane
Yavatmal,Sandy,Kharif,380,25,104,7,200,27,213,Cotton
Amravati,Red,Kharif,704,35,54,7,303,27,189,Rice
Ratnagiri,Black,Rabi,1824,23,70,7,242,35,275,Soybean
Akola,Sandy,Zaid,1302,30,79,7,286,30,221,Wheat
Gadchiroli,Red,Rabi,1130,22,50,7,278,17,234,Soybean
Aurangabad,Alluvial,Kharif,886,33,56,8,271,24,257,Wheat
Beed,Alluvial,Kharif,1358,28,89,6,343,34,226,Cotton
Yavatmal,Sandy,Rabi,1117,32,54,6,198,38,243,Maize
Gadchiroli,Red,Zaid,566,35,58,7,285,38,242,Soybean
Sindhudurg,Red,Zaid,1209,22,51,7,347,27,292,Sugarcane
Nashik,Laterite,Kharif,835,26,78,8,223,27,102,Rice
Ahmednagar,Laterite,Rabi,1041,25,71,7,196,16,237,Soybean
Nashik,Red,Kharif,998,28,55,7,204,20,198,Cotton
Latur,Black,Zaid,858,33,50,8,237,30,253,Rice
Sangli,Black,Zaid,883,27,55,6,274,12,252,Rice
Solapur,Black,Rabi,298,21,94,6,272,23,233,Cotton
Ahmednagar,Black,Kharif,1172,25,72,8,274,20,260,Rice
Yavatmal,Laterite,Kharif,953,25,73,7,329,22,225,Sugarcane
Washim,Alluvial,Zaid,1221,19,70,6,305,28,186,Cotton
Osmanabad,Laterite,Zaid,541,27,62,7,297,14,256,Sugarcane
Nanded,Alluvial,Zaid,695,34,56,6,341,23,182,Sugarcane
Chandrapur,Sandy,Rabi,603,27,81,6,225,15,224,Cotton
Solapur,Laterite,Rabi,808,32,68,7,262,28,215,Maize
Nagpur,Laterite,Rabi,512,30,67,6,237,39,162,Soybean
Wardha,Laterite,Kharif,730,25,65,7,259,15,166,Cotton
Solapur,Alluvial,Kharif,1261,31,89,7,319,26,218,Wheat
Dhule,Laterite,Zaid,1031,30,95,8,252,28,206,Soybean
Mumbai City,Laterite,Zaid,907,28,84,6,310,31,211,Tur
Akola,Red,Zaid,952,24,61,7,265,18,258,Soybean
Akola,Alluvial,Kharif,701,34,54,7,322,30,342,Soybean
Jalgaon,Black,Rabi,1240,25,85,7,211,26,264,Rice
Nagpur,Alluvial,Zaid,824,34,46,8,265,41,116,Rice
Raigad,Alluvial,Zaid,742,25,71,7,272,15,242,Soybean
Nagpur,Sandy,Kharif,660,24,76,7,234,24,250,Soybean
Nashik,Red,Rabi,698,24,57,6,321,35,244,Sugarcane
Beed,Red,Zaid,1740,20,56,7,228,21,241,Wheat
Osmanabad,Laterite,Rabi,846,33,60,7,307,27,150,Rice
Nandurbar,Laterite,Kharif,805,32,72,8,282,40,228,Tur
Parbhani,Alluvial,Zaid,1002,35,62,7,235,35,225,Rice
Parbhani,Laterite,Rabi,754,34,84,6,279,36,180,Maize
Buldhana,Laterite,Kharif,425,17,73,7,307,31,296,Maize
Jalna,Alluvial,Zaid,1058,31,54,7,324,35,164,Soybean
Ratnagiri,Laterite,Zaid,1416,25,25,7,261,27,224,Tur
Gondia,Laterite,Rabi,530,28,85,8,217,18,199,Sugarcane
Chandrapur,Sandy,Kharif,432,26,38,6,230,17,276,Rice
Solapur,Sandy,Zaid,748,28,67,7,252,18,205,Cotton
Sindhudurg,Red,Zaid,578,20,76,7,260,38,181,Cotton
Gondia,Alluvial,Kharif,1158,19,42,6,245,32,269,Tur
Dhule,Black,Kharif,780,36,53,7,255,27,172,Wheat
Nanded,Alluvial,Zaid,957,31,56,7,277,23,177,Wheat
Hingoli,Red,Kharif,1000,28,72,6,287,32,187,Tur
Wardha,Sandy,Rabi,84,33,60,8,270,20,296,Soybean
Bhandara,Black,Zaid,936,31,47,6,313,31,231,Sugarcane
Mumbai City,Sandy,Kharif,996,28,65,6,262,18,205,Soybean
Amravati,Laterite,Zaid,744,31,45,7,240,24,275,Cotton
Thane,Alluvial,Rabi,1060,25,74,8,415,30,192,Rice
Satara,Laterite,Rabi,865,26,70,7,160,29,274,Sugarcane
Jalgaon,Alluvial,Kharif,1106,22,61,8,354,23,241,Wheat
Palghar,Sandy,Rabi,860,28,59,7,235,9,241,Sugarcane
Gadchiroli,Laterite,Zaid,1124,31,54,7,297,19,197,Soybean
Beed,Red,Kharif,1119,30,55,7,319,26,220,Maize
Ahmednagar,Sandy,Rabi,941,26,73,7,241,29,185,Sugarcane
Dhule,Sandy,Kharif,924,32,52,7,280,9,199,Sugarcane
Kolhapur,Alluvial,Kharif,984,32,56,7,318,46,215,Soybean
Solapur,Laterite,Kharif,789,33,48,7,246,6,152,Wheat
Jalgaon,Laterite,Kharif,1156,24,63,8,233,21,203,Sugarcane
Latur,Black,Zaid,856,25,54,8,372,17,107,Rice
Yavatmal,Sandy,Zaid,1149,24,87,7,258,24,258,Soybean
Wardha,Laterite,Rabi,961,25,94,7,260,22,167,Wheat
Washim,Black,Rabi,1464,20,47,6,219,28,138,Maize
Sangli,Black,Kharif,921,30,79,7,282,16,176,Soybean
Palghar,Alluvial,Rabi,1098,26,57,7,272,9,114,Wheat
Chandrapur,Laterite,Kharif,611,29,71,7,301,25,302,Wheat
Gadchiroli,Laterite,Zaid,1188,29,73,6,323,23,252,Cotton
Sindhudurg,Sandy,Rabi,887,31,51,7,283,24,232,Cotton
Beed,Laterite,Kharif,1269,37,101,7,282,45,178,Soybean
Nandurbar,Sandy,Rabi,905,27,68,8,237,13,168,Soybean
Buldhana,Sandy,Zaid,976,23,70,7,338,16,261,Wheat
Aurangabad,Alluvial,Zaid,692,30,64,5,245,18,189,Sugarcane
Parbhani,Alluvial,Zaid,1205,30,52,6,264,30,282,Cotton
Amravati,Black,Kharif,806,24,68,7,278,30,267,Wheat
Sangli,Laterite,Kharif,1276,25,65,7,325,14,257,Cotton
Nanded,Black,Kharif,907,25,64,7,256,26,163,Rice
Buldhana,Red,Zaid,892,30,54,7,232,22,194,Soybean
Jalgaon,Sandy,Kharif,1196,23,54,7,241,5,234,Tur
Beed,Alluvial,Kharif,527,29,65,7,315,28,254,Tur
Dhule,Laterite,Rabi,922,31,78,7,320,23,206,Rice
Jalgaon,Black,Rabi,943,29,77,6,237,16,269,Maize
Nandurbar,Alluvial,Zaid,1007,27,76,7,249,24,198,Sugarcane
Bhandara,Laterite,Rabi,374,24,93,7,312,28,196,Sugarcane
Dhule,Laterite,Zaid,727,31,54,7,282,13,179,Rice
Yavatmal,Red,Kharif,699,28,42,5,240,26,208,Maize
Hingoli,Laterite,Kharif,568,25,32,7,282,33,252,Wheat
Palghar,Alluvial,Kharif,480,35,63,6,252,33,164,Sugarcane
Sindhudurg,Red,Zaid,1301,41,67,7,247,38,207,Sugarcane
Palghar,Black,Zaid,814,28,55,7,308,15,177,Wheat
Nagpur,Alluvial,Kharif,574,31,83,6,277,22,328,Soybean
Amravati,Black,Zaid,1280,27,50,7,295,7,295,Soybean
Solapur,Laterite,Kharif,591,30,63,7,284,46,131,Sugarcane
Akola,Red,Kharif,909,29,68,6,255,29,223,Tur
Beed,Alluvial,Zaid,1075,28,79,6,258,18,241,Rice
Chandrapur,Alluvial,Kharif,811,36,80,6,309,36,191,Cotton
Nandurbar,Red,Zaid,1305,33,33,7,273,29,197,Soybean
Jalgaon,Sandy,Rabi,779,23,61,7,293,23,262,Tur
Yavatmal,Alluvial,Rabi,926,33,55,8,381,28,163,Sugarcane
Gadchiroli,Sandy,Zaid,975,28,70,7,257,20,240,Wheat
Nashik,Alluvial,Zaid,1142,27,64,6,272,19,157,Maize
Bhandara,Black,Kharif,1254,31,65,7,262,21,158,Maize
Pune,Laterite,Zaid,987,24,41,7,277,22,322,Cotton
Jalna,Alluvial,Kharif,1069,27,55,5,312,12,205,Tur
Amravati,Alluvial,Kharif,1012,31,68,7,251,29,169,Soybean
Yavatmal,Sandy,Zaid,556,36,49,6,279,38,263,Tur
Dhule,Sandy,Rabi,1389,32,69,7,267,25,242,Sugarcane
Gadchiroli,Alluvial,Zaid,1438,28,46,7,251,40,275,Rice
Osmanabad,Alluvial,Rabi,1232,25,93,6,270,19,242,Soybean
Jalna,Black,Zaid,688,23,82,6,267,39,174,Rice
Beed,Alluvial,Kharif,866,30,62,7,246,19,168,Sugarcane
Jalna,Black,Kharif,897,24,75,7,247,22,213,Sugarcane
Jalgaon,Sandy,Zaid,927,27,66,7,228,18,225,Cotton
Solapur,Sandy,Zaid,1137,25,81,6,368,33,285,Wheat
Wardha,Sandy,Kharif,836,27,80,6,322,36,202,Cotton
Nanded,Sandy,Kharif,1263,20,60,7,251,-2,212,Soybean
Dhule,Alluvial,Rabi,988,29,51,7,295,24,179,Wheat
Thane,Laterite,Zaid,821,30,73,6,313,25,187,Tur
Sangli,Sandy,Zaid,1141,30,78,7,290,16,289,Sugarcane
Raigad,Red,Kharif,535,30,56,7,270,29,327,Sugarcane
Solapur,Sandy,Rabi,751,25,73,7,286,20,190,Soybean
Buldhana,Sandy,Kharif,728,22,57,7,237,30,260,Maize
Ratnagiri,Alluvial,Zaid,492,26,54,6,291,26,173,Maize
Nanded,Red,Rabi,404,27,62,8,312,24,240,Wheat
Pune,Sandy,Rabi,1056,30,57,7,285,26,228,Sugarcane
Buldhana,Laterite,Rabi,1235,28,59,7,286,23,202,Wheat
Nanded,Sandy,Rabi,1281,23,59,7,276,22,236,Maize
Palghar,Alluvial,Kharif,969,32,73,8,376,16,236,Wheat
Satara,Laterite,Zaid,1371,28,70,5,307,18,264,Tur
Akola,Alluvial,Zaid,722,29,62,7,249,28,180,Rice
Beed,Black,Kharif,1008,31,49,6,223,21,252,Rice
Beed,Laterite,Rabi,1697,28,63,7,287,24,204,Cotton
Parbhani,Sandy,Kharif,832,26,92,7,347,28,178,Wheat
Satara,Sandy,Zaid,1291,28,70,8,374,6,191,Rice
Washim,Laterite,Rabi,1148,27,61,6,315,46,239,Soybean
Solapur,Alluvial,Zaid,919,31,79,7,322,13,207,Maize
Bhandara,Black,Rabi,263,33,59,6,323,30,249,Rice
Sangli,Sandy,Rabi,581,29,54,8,275,26,290,Cotton
Washim,Laterite,Zaid,1884,24,72,8,272,12,263,Wheat
Beed,Sandy,Kharif,970,32,70,7,294,15,147,Sugarcane
Jalgaon,Black,Rabi,458,23,68,7,186,31,253,Rice
Thane,Black,Kharif,907,23,45,7,305,49,287,Tur
Buldhana,Laterite,Rabi,1057,25,56,7,314,33,301,Cotton
Sindhudurg,Sandy,Rabi,841,32,62,8,236,23,398,Tur
Nashik,Red,Zaid,576,19,59,7,258,43,213,Tur
Washim,Sandy,Kharif,865,35,65,6,310,37,284,Soybean
Mumbai City,Alluvial,Kharif,1135,22,59,7,258,44,169,Wheat
Nashik,Red,Zaid,1143,20,75,8,355,29,223,Soybean
Thane,Black,Zaid,202,24,94,8,267,18,167,Soybean
Wardha,Red,Rabi,808,29,71,8,252,30,281,Maize
Pune,Sandy,Kharif,994,31,88,7,341,23,230,Sugarcane
Nagpur,Black,Kharif,-28,26,75,7,280,34,197,Soybean
Ahmednagar,Red,Kharif,936,32,82,7,319,17,170,Soybean
Parbhani,Black,Rabi,1060,30,66,7,283,19,232,Rice
Mumbai Suburban,Laterite,Zaid,575,26,66,6,320,17,314,Soybean
Palghar,Red,Zaid,527,31,75,7,281,26,248,Wheat
Nanded,Laterite,Kharif,1040,34,87,8,239,11,177,Rice
Satara,Black,Kharif,1225,30,66,7,306,28,318,Soybean
Gondia,Sandy,Rabi,1323,31,43,7,269,17,270,Tur
Gadchiroli,Sandy,Zaid,929,34,68,6,268,26,184,Wheat
Parbhani,Laterite,Kharif,1102,25,70,7,300,22,196,Rice
Nashik,Black,Rabi,1036,38,35,7,326,22,209,Soybean
Solapur,Sandy,Zaid,966,18,33,9,208,20,189,Tur
Yavatmal,Alluvial,Kharif,942,22,55,7,270,25,207,Soybean
Aurangabad,Red,Zaid,1138,27,58,7,315,14,171,Wheat
Dhule,Black,Kharif,759,27,29,7,373,27,261,Rice
Sangli,Alluvial,Zaid,1220,33,52,8,231,26,220,Sugarcane
Nandurbar,Sandy,Kharif,1236,29,80,8,259,22,124,Rice
Washim,Alluvial,Zaid,1051,31,37,7,242,25,229,Soybean
Satara,Laterite,Rabi,863,26,50,6,237,28,222,Sugarcane
Kolhapur,Laterite,Kharif,1115,23,42,7,294,18,190,Sugarcane
